player,team,position,minutes,score,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Pablo Sarabia García,Getafe,Right Wing,2592.0,0.3714,0.147,not recommended,0.4514,2.2569,0.149,10.2778,2.2569,21.875
Lucas Vázquez Iglesias,Real Madrid,Right Wing,1294.0,0.3643,0.145,not recommended,0.6955,1.6692,0.171,14.0495,1.5997,20.3091
Rodrigo Javier De Paul,Valencia,Left Wing,536.0,0.3571,0.1419,not recommended,0.0,1.6791,0.0878,5.3731,3.0224,23.8433
Armindo Tué Na Bangna,Real Sociedad,Left Wing,1520.0,0.35,0.1397,not recommended,0.1776,2.8421,0.2083,14.5658,1.3026,16.6974
Michael Krohn-Dehli,Sevilla,Left Wing,1736.0,0.3429,0.1349,not recommended,0.2074,1.2961,0.165,6.8433,1.6071,13.8422
Roque Luis Santa Cruz Cantero,Málaga,Left Center Forward,483.0,0.3357,0.1347,not recommended,0.559,0.9317,0.1571,13.7888,1.118,11.9255
Jonathan Javier Rodríguez Portillo,RC Deportivo La Coruña,Center Forward,592.0,0.3286,0.13,not recommended,0.0,2.8885,0.2682,17.4831,0.4561,16.1149
Roger Martí Salvador,Levante UD,Left Center Forward,684.0,0.3214,0.1237,not recommended,0.0,2.7632,0.2481,16.3158,0.7895,20.0
Jonathan Viera Ramos,Las Palmas,Left Wing,3196.0,0.3143,0.1182,not recommended,0.4224,2.4781,0.1688,8.0538,1.8304,18.4168
Isaac Ajayi Success,Granada,Right Wing,2505.0,0.3071,0.117,not recommended,0.2874,2.0479,0.2084,12.0359,0.8263,11.9281
Ricky van Wolfswinkel,Real Betis,Right Center Forward,755.0,0.3,0.1163,not recommended,0.3576,1.7881,0.2517,11.3245,0.4768,14.3046
Roberto Soldado Rillo,Villarreal,Left Center Forward,2303.0,0.2929,0.1078,not recommended,0.5862,1.6023,0.1934,14.4985,0.7034,13.8341
Víctor Machín Pérez,Sevilla,Right Wing,2152.0,0.2857,0.101,not recommended,0.2509,1.0037,0.1361,13.4665,1.3801,20.6599
Carlos Carmona Bonet,Sporting Gijón,Right Wing,1235.0,0.2786,0.1002,not recommended,0.3644,1.0931,0.1898,9.2551,1.3846,27.1093
Miguel Ángel Guerrero Martín,Sporting Gijón,Center Forward,1122.0,0.2714,0.0953,not recommended,0.2406,1.7647,0.1984,14.5187,0.9626,23.5829
Claudio Beauvue,Celta Vigo,Right Wing,526.0,0.2643,0.0916,not recommended,0.1711,1.8821,0.1856,11.635,0.8555,14.7148
Nordin Amrabat,Málaga,Right Center Forward,1033.0,0.2571,0.0911,not recommended,0.0871,2.4395,0.1367,14.7241,1.3069,15.1597
Francisco Medina Luna,Rayo Vallecano,Right Wing,782.0,0.25,0.0889,not recommended,0.4604,2.0716,0.1674,4.3734,1.3811,13.0051
Mikel Oyarzabal Ugarte,Real Sociedad,Left Wing,1552.0,0.2429,0.0853,not recommended,0.4059,1.8557,0.1769,10.6701,1.2178,22.0941
Markel Susaeta Laskurain,Athletic Club,Right Wing,1956.0,0.2357,0.0823,not recommended,0.5061,1.1503,0.1032,9.8926,1.7485,21.9018
Adrián Embarba Blázquez,Rayo Vallecano,Right Wing,1889.0,0.2286,0.0818,not recommended,0.2859,1.9058,0.1657,9.2906,1.1435,16.8184
Leonardo Carrilho Baptistão,Villarreal,Right Center Forward,1325.0,0.2214,0.0817,not recommended,0.2717,2.1736,0.2166,15.2151,0.4755,19.0189
José Ignacio Peleteiro Ramallo,Eibar,Right Wing,724.0,0.2143,0.0805,not recommended,0.0,1.7403,0.1145,8.0801,1.7403,19.0193
Théo Bongonda Mbul''Ofeko Batombo,Celta Vigo,Left Wing,1231.0,0.2071,0.0804,not recommended,0.2193,1.3891,0.1706,8.2616,0.7311,10.3818
Pablo Daniel Piatti,Valencia,Left Wing,827.0,0.2,0.0719,not recommended,0.0,1.1971,0.1434,10.9915,1.4148,28.0774
Pedro León Sánchez Gil,Getafe,Right Wing,1879.0,0.1929,0.0708,not recommended,0.2874,2.1075,0.128,9.0527,1.4369,17.5785
Iñaki Williams Arthuer,Athletic Club,Right Wing,1643.0,0.1857,0.0701,not recommended,0.6026,2.465,0.1908,14.0231,0.5478,15.7212
Nabil Ghilas,Levante UD,Right Center Forward,1059.0,0.1786,0.0689,not recommended,0.085,1.7847,0.1434,13.8527,0.7649,14.2776
Takashi Inui,Eibar,Left Wing,1670.0,0.1714,0.0665,not recommended,0.3234,1.9401,0.1462,10.4551,1.0778,17.7844
Hernán Arsenio Pérez González,Espanyol,Right Wing,2525.0,0.1643,0.0661,not recommended,0.2851,1.6752,0.1687,10.2297,0.8911,19.9604
Víctor Casadesús Castaño,Levante UD,Right Center Forward,1013.0,0.1571,0.057,not recommended,0.3554,1.0661,0.1051,7.463,0.9773,11.3722
