player,team,primary_position,total_minutes,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Francisco Medina Luna,Rayo Vallecano,Right Wing,782.0,0.0501,not recommended,0.4604,2.0716,0.1674,4.3734,1.3811,13.0051
Mikel Oyarzabal Ugarte,Real Sociedad,Left Wing,1552.0,0.049,not recommended,0.4059,1.8557,0.1769,10.6701,1.2178,22.0941
Alhassane Bangoura,Rayo Vallecano,Right Wing,835.0,0.0462,not recommended,0.1078,1.9401,0.073,9.2695,1.509,14.7665
Hernán Arsenio Pérez González,Espanyol,Right Wing,2525.0,0.0439,not recommended,0.2851,1.6752,0.1687,10.2297,0.8911,19.9604
Tiago Manuel Dias Correia,Rayo Vallecano,Left Wing,2288.0,0.0431,not recommended,0.354,3.1469,0.0964,5.8217,0.9441,12.5874
Xabier Prieto Argarate,Real Sociedad,Right Wing,2452.0,0.0426,not recommended,0.1835,0.6607,0.0533,7.4144,1.1746,13.6542
Santiago Mina Lorenzo,Valencia,Right Wing,1617.0,0.0419,not recommended,0.2783,1.3358,0.1698,10.0742,0.5009,22.7087
David Zurutuza Veillet,Real Sociedad,Left Wing,1144.0,0.0416,not recommended,0.3147,1.4948,0.1333,6.0577,0.7867,20.3759
Zakaria Bakkali,Valencia,Left Wing,608.0,0.0385,not recommended,0.5921,1.9243,0.0859,8.5855,1.3322,14.8026
Roque Luis Santa Cruz Cantero,Málaga,Left Center Forward,483.0,0.0375,not recommended,0.559,0.9317,0.1571,13.7888,1.118,11.9255
Pablo Pérez Rodríguez,Sporting Gijón,Right Wing,784.0,0.0356,not recommended,0.1148,2.0663,0.2009,10.9056,0.3444,19.4005
Denis Cheryshev,Valencia,Left Wing,528.0,0.0312,not recommended,0.6818,2.3864,0.2115,10.0568,0.5114,20.625
Edgar Antonio Méndez Ortega,Granada,Left Wing,786.0,0.0306,not recommended,0.1145,1.2595,0.0672,5.3817,0.5725,20.0382
Foued Kadir,Real Betis,Right Wing,486.0,0.0297,not recommended,0.0,1.8519,0.0664,8.8889,1.2963,16.8519
Adalberto Peñaranda Maestre,Granada,Right Center Forward,1705.0,0.0267,not recommended,0.4223,1.1613,0.1,9.132,0.6334,20.956
Fayçal Fajr,RC Deportivo La Coruña,Right Wing,2934.0,0.0261,not recommended,0.2454,1.3804,0.07,3.1595,1.5951,16.2883
Alejandro Menéndez Díez,Sporting Gijón,Left Wing,1092.0,0.0244,not recommended,0.2473,1.4835,0.1019,4.1209,0.989,16.8132
Jonathan Rodríguez Menéndez,Sporting Gijón,Left Wing,2937.0,0.0227,not recommended,0.3677,1.716,0.0748,5.0868,1.1032,14.1879
Álvaro Cejudo Carmona,Real Betis,Left Wing,1931.0,0.0201,not recommended,0.1398,1.6779,0.0589,3.7286,0.9788,19.9016
Robert Ibáñez Castro,Granada,Right Wing,733.0,0.0175,not recommended,0.1228,1.2278,0.0708,10.8049,0.8595,16.3302
Rubén Gracia Calmache,RC Deportivo La Coruña,Left Wing,904.0,0.0169,not recommended,0.0,0.9956,0.0428,4.3805,0.7965,16.5265
Wanderson Maciel Sousa Campos,Getafe,Left Wing,819.0,0.0101,not recommended,0.0,2.6374,0.1351,5.2747,0.7692,20.989
Mubarak Wakaso,Las Palmas,Left Wing,970.0,0.0094,not recommended,0.0928,1.7629,0.0417,3.3402,0.7423,18.5567
